trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.599, 'e': 0.9900498337491681}",20,0,-72.6381949783975,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.598, 'e': 0.9801986733067553}",20,0,-55.94366210940505,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.597, 'e': 0.9704455335485082}",30,0,-130.91458060554976,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.596, 'e': 0.9607894391523232}",30,0,-133.01709901435567,"{0: 15, 1: 3, 2: 11, 3: 1, 4: 0}",0
5,False,"{'a': 0.595, 'e': 0.951229424500714}",20,0,-86.70250960439928,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.594, 'e': 0.9417645335842487}",35,0,-121.78831971904467,"{0: 23, 1: 6, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.593, 'e': 0.9323938199059483}",25,0,-129.38216112121776,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.592, 'e': 0.9231163463866358}",20,4,-88.9713753770522,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.591, 'e': 0.9139311852712282}",25,0,-118.91991619174915,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.59, 'e': 0.9048374180359595}",20,2,-96.12384533124848,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.589, 'e': 0.8958341352965282}",20,0,-173.26572375578468,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.588, 'e': 0.8869204367171575}",20,0,-82.5809906099838,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.587, 'e': 0.8780954309205613}",25,0,-98.54045058400045,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.586, 'e': 0.8693582353988059}",30,0,-73.84180147563504,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.585, 'e': 0.8607079764250578}",25,4,-108.465653957731,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 1}",1
16,False,"{'a': 0.584, 'e': 0.8521437889662113}",20,0,-95.42727301772221,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.583, 'e': 0.8436648165963837}",30,0,-110.7551886002538,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.582, 'e': 0.835270211411272}",20,0,-132.73065855912674,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.581, 'e': 0.8269591339433623}",25,1,-101.95224222814223,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 1}",1
20,False,"{'a': 0.58, 'e': 0.8187307530779818}",20,0,-95.8881077859289,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.579, 'e': 0.8105842459701871}",20,0,-126.78939672649369,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.578, 'e': 0.8025187979624785}",20,0,-60.167086933245926,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.577, 'e': 0.794533602503334}",20,5,-122.75984915867518,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 2}",1
