trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-133.371295799578,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8}",35,18,-11.257788157181576,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.7000000000000001}",20,0,-223.23026424418396,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.6000000000000001}",25,0,-102.71090667383531,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5000000000000001}",25,0,-142.37817686254525,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.40000000000000013}",20,0,-128.20847715593433,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.30000000000000016}",20,0,-93.42476643307495,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.20000000000000015}",25,0,-126.34298902266167,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.10000000000000014}",30,0,-232.38998199205113,"{0: 17, 1: 4, 2: 3, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.3877787807814457e-16}",20,0,-88.82659132007358,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': -0.09999999999999987}",20,3,-135.94677253779875,"{0: 6, 1: 4, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': -0.19999999999999987}",25,0,-143.50503092918407,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': -0.2999999999999999}",25,0,-136.29113231948813,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': -0.3999999999999999}",30,0,-118.97371444226168,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': -0.4999999999999999}",25,0,-176.8894767765411,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': -0.5999999999999999}",20,0,-83.84132000716647,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.6999999999999998}",20,0,-63.29352018706309,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.7999999999999998}",20,0,-133.89316164614334,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': -0.8999999999999998}",25,0,-111.97147894166099,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -0.9999999999999998}",20,0,-82.60729318347568,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -1.0999999999999999}",20,0,-48.346142488319195,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': -1.2}",35,0,-249.43717492813917,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': -1.3}",25,0,-181.85168103083024,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': -1.4000000000000001}",25,0,-209.20691868451024,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': -1.5000000000000002}",20,0,-154.44955606420802,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': -1.6000000000000003}",20,0,-82.8660647471734,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': -1.7000000000000004}",25,0,-140.73988338197722,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': -1.8000000000000005}",20,0,-152.70780816449067,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': -1.9000000000000006}",30,0,-214.25779939592158,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': -2.0000000000000004}",20,0,-63.79047172890652,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
